rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate
1637,/games/boxart/full_115466AmericaFrontccc.png,https://www.vgchartz.com/game/70704/fire-emblem-awakening/?region=All,Fire Emblem: Awakening    Read the review,3DS,Nintendo  ,Intelligent Systems  ,9.3  ,9.0  ,N/A  ,2.37m,N/A,N/A,N/A,N/A,N/A,04th Feb 13  ,01st Jan 18
1638,/games/boxart/full_5986308AmericaFrontccc.jpg,https://www.vgchartz.com/game/71407/the-legend-of-zelda-the-wind-waker/?region=All,The Legend of Zelda: The Wind Waker    Read the review,WiiU,Nintendo  ,Nintendo EAD  ,9.3  ,9.3  ,N/A  ,2.37m,N/A,N/A,N/A,N/A,N/A,04th Oct 13  ,20th Mar 18
1639,/games/boxart/full_9614181AmericaFrontccc.jpg,https://www.vgchartz.com/game/85786/yokai-watch-blasters-red-cat-corps-white-dog-squad/?region=All,Yokai Watch Blasters: Red Cat Corps / White Dog Squad    ,3DS,Nintendo  ,Level 5  ,N/A  ,N/A  ,N/A  ,2.37m,N/A,N/A,N/A,N/A,N/A,07th Sep 18  ,09th Sep 18
1640,/games/boxart/full_1189993AmericaFrontccc.jpg,https://www.vgchartz.com/game/33187/madden-nfl-10/?region=All,Madden NFL 10    Read the review,PS3,EA Sports  ,EA Tiburon  ,8.6  ,8.5  ,N/A  ,N/A,2.37m,2.03m,0.13m,N/A,0.21m,14th Aug 09  ,N/A
1641,/games/boxart/full_727021AmericaFrontccc.png,https://www.vgchartz.com/game/147591/uncharted-the-lost-legacy/?region=All,Uncharted: The Lost Legacy    ,PS4,Sony Interactive Entertainment  ,Naughty Dog  ,N/A  ,N/A  ,N/A  ,N/A,2.37m,0.58m,1.38m,0.04m,0.36m,22nd Aug 17  ,N/A
1642,/games/boxart/full_4784982AmericaFrontccc.jpg,https://www.vgchartz.com/game/29684/sonics-ultimate-genesis-collection/?region=All,Sonic's Ultimate Genesis Collection    ,PS3,Sega  ,Backbone Entertainment  ,N/A  ,8.1  ,N/A  ,N/A,2.36m,1.39m,0.64m,N/A,0.33m,10th Feb 09  ,N/A
1643,/games/boxart/full_879664AmericaFrontccc.jpg,https://www.vgchartz.com/game/70487/sleeping-dogs/?region=All,Sleeping Dogs    ,PC,Square Enix  ,United Front Games  ,N/A  ,8.5  ,N/A  ,2.36m,N/A,N/A,N/A,N/A,N/A,14th Aug 12  ,07th Mar 18
1644,/games/boxart/full_kirbys-dream-land-2_636AmericaFront.jpg,https://www.vgchartz.com/game/3609/kirbys-dream-land-2/?region=All,Kirby's Dream Land 2    ,GB,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,2.36m,N/A,N/A,N/A,N/A,N/A,01st May 95  ,N/A
1645,/games/boxart/8509143ccc.jpg,https://www.vgchartz.com/game/4027/pokemon-mystery-dungeon-red-rescue-team/?region=All,Pokémon Mystery Dungeon: Red Rescue Team    ,GBA,Nintendo  ,ChunSoft  ,N/A  ,N/A  ,N/A  ,2.36m,N/A,N/A,N/A,N/A,N/A,18th Sep 06  ,N/A
1646,/games/boxart/full_1717270AmericaFrontccc.jpg,https://www.vgchartz.com/game/166063/destiny-2/?region=All,Destiny 2    ,XOne,Activision  ,Bungie  ,N/A  ,N/A  ,N/A  ,N/A,2.35m,1.66m,0.47m,N/A,0.23m,06th Sep 17  ,20th Apr 18
1647,/games/boxart/full_7236801AmericaFrontccc.jpg,https://www.vgchartz.com/game/221271/captain-toad-treasure-tracker/?region=All,Captain Toad: Treasure Tracker    ,NS,Nintendo  ,Nintendo EPD  ,N/A  ,8.1  ,N/A  ,2.35m,N/A,N/A,N/A,N/A,N/A,13th Jul 18  ,18th Nov 18
1648,/games/boxart/full_1526512AmericaFrontccc.jpg,https://www.vgchartz.com/game/3115/donkey-kong-land-2/?region=All,Donkey Kong Land 2    ,GB,Nintendo  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,2.35m,N/A,N/A,N/A,N/A,N/A,01st Sep 96  ,N/A
1649,/games/boxart/9533107ccc.jpg,https://www.vgchartz.com/game/3140/dragon-quest-monsters/?region=All,Dragon Quest Monsters    ,GB,Eidos Interactive  ,TOSE  ,N/A  ,N/A  ,N/A  ,2.35m,N/A,N/A,N/A,N/A,N/A,31st Dec 99  ,27th Mar 18
1650,/games/boxart/full_3527400AmericaFrontccc.jpg,https://www.vgchartz.com/game/14751/pokemon-ranger-shadows-of-almia/?region=All,Pokémon Ranger: Shadows of Almia    ,DS,Nintendo  ,HAL Laboratory  ,N/A  ,6.7  ,N/A  ,2.35m,N/A,N/A,N/A,N/A,N/A,10th Nov 08  ,N/A
1651,/games/boxart/full_7825184AmericaFrontccc.jpg,https://www.vgchartz.com/game/6151/warioware-smooth-moves/?region=All,WarioWare: Smooth Moves    Read the review,Wii,Nintendo  ,Intelligent Systems  ,8.1  ,8.2  ,N/A  ,2.35m,N/A,N/A,N/A,N/A,N/A,15th Jan 07  ,N/A
1652,/games/boxart/full_9031048AmericaFrontccc.jpg,https://www.vgchartz.com/game/15205/lego-indiana-jones-the-original-adventures/?region=All,LEGO Indiana Jones: The Original Adventures    ,Wii,LucasArts  ,Traveller's Tales  ,N/A  ,7.8  ,N/A  ,N/A,2.35m,1.51m,0.62m,N/A,0.22m,03rd Jun 08  ,N/A
1653,/games/boxart/full_5760376AmericaFrontccc.jpg,https://www.vgchartz.com/game/71339/lego-marvel-super-heroes/?region=All,Lego Marvel Super Heroes    ,X360,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,2.34m,1.26m,0.87m,N/A,0.21m,22nd Oct 13  ,01st Dec 18
1654,/games/boxart/full_9902854AmericaFrontccc.jpg,https://www.vgchartz.com/game/12782/wwe-smackdown-vs-raw-2008/?region=All,WWE SmackDown vs Raw 2008    ,PS2,THQ  ,Yuke's Media Creations  ,N/A  ,N/A  ,N/A  ,N/A,2.34m,0.92m,0.00m,0.01m,1.41m,13th Nov 07  ,N/A
1655,/games/boxart/full_5737361AmericaFrontccc.jpg,https://www.vgchartz.com/game/81792/dragon-age-inquisition/?region=All,Dragon Age: Inquisition    ,PS4,Electronic Arts  ,BioWare Edmonton  ,N/A  ,N/A  ,N/A  ,N/A,2.34m,1.07m,0.80m,0.08m,0.38m,18th Nov 14  ,05th Jan 19
1656,/games/boxart/full_kinect-sports-season-two_392AmericaFront.jpg,https://www.vgchartz.com/game/51392/kinect-sports-season-two/?region=All,Kinect Sports: Season Two    Read the review,X360,Microsoft Studios  ,Rare Ltd.  ,7.0  ,6.6  ,N/A  ,N/A,2.33m,1.38m,0.72m,0.02m,0.21m,25th Oct 11  ,N/A
1657,/games/boxart/full_8355573AmericaFrontccc.jpg,https://www.vgchartz.com/game/71986/madden-nfl-25/?region=All,Madden NFL 25    ,X360,EA Sports  ,EA Tiburon  ,N/A  ,7.8  ,N/A  ,N/A,2.33m,2.02m,0.07m,N/A,0.25m,27th Aug 13  ,06th Jan 18
1658,/games/boxart/full_art-academy_9AmericaFront.jpg,https://www.vgchartz.com/game/45454/art-academy/?region=All,Art Academy    ,DS,Nintendo  ,Headstrong Games  ,N/A  ,6.8  ,N/A  ,2.33m,N/A,N/A,N/A,N/A,N/A,25th Oct 10  ,N/A
1659,/games/boxart/full_190826PALFrontccc.jpg,https://www.vgchartz.com/game/222143/cyberpunk-2077/?region=All,Cyberpunk 2077    ,XOne,CD Projekt Red Studio  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,2.33m,N/A,N/A,N/A,N/A,N/A,19th Nov 20  ,10th Jun 19
1660,/games/boxart/full_709900AmericaFrontccc.jpg,https://www.vgchartz.com/game/28230/my-fitness-coach/?region=All,My Fitness Coach    ,Wii,Ubisoft  ,Ubisoft  ,N/A  ,7.1  ,N/A  ,N/A,2.32m,1.18m,0.90m,N/A,0.24m,02nd Dec 08  ,N/A
1661,/games/boxart/full_8164194AmericaFrontccc.jpg,https://www.vgchartz.com/game/71598/assassins-creed-iv-black-flag/?region=All,Assassin's Creed IV: Black Flag    ,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.3  ,N/A  ,N/A,2.32m,1.51m,0.59m,N/A,0.22m,22nd Nov 13  ,14th Mar 18
1662,/games/boxart/full_5563343AmericaFrontccc.jpg,https://www.vgchartz.com/game/23551/mario-super-sluggers/?region=All,Mario Super Sluggers    ,Wii,Nintendo  ,Bandai Namco Games / NOW Production  ,N/A  ,6.7  ,N/A  ,2.32m,N/A,N/A,N/A,N/A,N/A,25th Aug 08  ,N/A
1663,/games/boxart/4102422ccc.jpg,https://www.vgchartz.com/game/3719/mario-tennis/?region=All,Mario Tennis    ,N64,Nintendo  ,Camelot Software Planning  ,N/A  ,8.8  ,N/A  ,2.32m,N/A,N/A,N/A,N/A,N/A,28th Aug 00  ,N/A
1664,/games/boxart/6725603ccc.jpg,https://www.vgchartz.com/game/889/grand-theft-auto/?region=All,Grand Theft Auto    ,PS,Take-Two Interactive  ,DMA Design  ,N/A  ,6.0  ,N/A  ,N/A,2.32m,0.79m,1.35m,0.04m,0.14m,30th Jun 98  ,N/A
1665,/games/boxart/7857371ccc.jpg,https://www.vgchartz.com/game/6199/james-bond-007-everything-or-nothing/?region=All,James Bond 007: Everything or Nothing    ,PS2,Electronic Arts  ,EA Redwood Shores  ,N/A  ,N/A  ,N/A  ,N/A,2.31m,0.85m,1.06m,0.09m,0.32m,17th Feb 04  ,N/A
1666,/games/boxart/full_mafia-ii_6AmericaFront.jpg,https://www.vgchartz.com/game/21856/mafia-ii/?region=All,Mafia II    ,PC,2K Games  ,Illusion Softworks  ,N/A  ,7.6  ,N/A  ,2.31m,N/A,N/A,N/A,N/A,N/A,24th Aug 10  ,N/A
1667,/games/boxart/2238350ccc.jpg,https://www.vgchartz.com/game/1572/need-for-speed-high-stakes/?region=All,Need for Speed: High Stakes    ,PS,Electronic Arts  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,2.31m,1.58m,0.64m,N/A,0.09m,01st Mar 99  ,N/A
